st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK195,1,0,0,1-2 hours,6-7,13,11,.31428573,.43333334,.28367361,.34615737,.15837184,.1904594,1,4,4,3,3,1,0,0,1-2 hours,4-7,20,20,.58823532,.66666669,1.1582975,.94777817,.83458686,.7280767,1,Tekhand,12,0,6,0,12,-2.0105643,0,0,1,0,0,0
TK196,1,1,0,Less than 1 hour,8-9,14,9,.25714287,.46666667,-.061500128,-.051159143,.52802664,.52741128,1,2,3,1,2,,,,,,,,,,,,,,,Tekhand,15,0,9,1,19,-.17367122,0,0,0,0,0,1
TK197,0,0,1,,6-7,15,14,.40000001,.5,.66576004,.63212264,.30742633,.31785288,1,5,4,3,2,0,0,1,,4-7,19,23,.67647058,.63333333,1.5066546,1.2221663,.63288224,.54340523,1,Tekhand,13,0,7,0,12,-.5322324,0,0,0,1,0,0
TK198,0,0,1,,6-7,10,13,.37142858,.33333334,.23881724,.30344918,-.84277713,-.59436673,1,4,2,3,1,1,0,1,3-4 hours,4-7,18,21,.61764705,.60000002,1.1112846,.88168502,.49316633,.45016822,1,Tekhand,,0,6,1,12,-.86582887,0,0,1,0,0,0
TK199,0,0,0,,6-7,12,5,.14285715,.40000001,-1.2479366,-.7920959,-.28561032,-.12771054,0,2,3,1,2,1,1,1,1-2 hours,4-7,23,16,.47058824,.76666665,.23732997,.27710319,1.1817045,1.0569019,1,Tekhand,11,0,6,1,19,.12410065,0,0,1,0,0,0
TK200,0,0,1,,8-9,16,14,.40000001,.53333336,1.1347201,1.0624622,1.065051,.97688901,1,5,5,3,3,0,0,1,,8-9,18,13,.37142858,.60000002,.18647119,.23681924,.30310708,.28356722,1,Tekhand,13,0,8,0,19,.12410065,0,0,0,0,1,0
TK201,1,1,1,Less than 1 hour,6-7,6,14,.40000001,.2,-1.5433764,-1.179119,-1.9226995,-3.4457376,1,1,1,1,1,1,0,0,3-4 hours,4-7,4,13,.38235295,.13333334,-.76186609,-.47960091,-2.4406474,-3.8187048,1,Tekhand,12,0,7,0,12,-.96311039,0,0,0,1,0,0
TK202,1,1,0,,8-9,16,14,.40000001,.53333336,.63536108,.72807306,.53713763,.56055242,1,4,4,3,2,0,0,1,,8-9,9,10,.2857143,.30000001,-1.0302087,-.68522632,-.9835884,-.63796854,1,Tekhand,12,0,8,0,12,-2.0105643,0,0,0,0,1,0
TK203,0,1,0,,8-9,4,0,0,.13333334,,,-1.9273906,-3.4565895,1,,1,,1,0,0,0,,8-9,4,7,.2,.13333334,-1.7378805,-2.4614811,-2.0150077,-2.491993,0,Tekhand,13,0,8,0,12,-.65683669,0,0,0,0,1,0
TK204,0,0,1,,6-7,13,11,.31428573,.43333334,-.5885886,-.38239175,-.25931388,-.13835232,1,2,2,1,2,0,0,1,,4-7,17,17,.5,.56666666,.50581086,.47108209,.57394332,.53975779,1,Tekhand,13,0,7,0,12,.61986309,0,0,0,1,0,0
TK205,1,1,1,More than 4 hours,6-7,15,14,.40000001,.5,.9807511,.79945511,-.14303561,-.088904664,1,5,3,3,2,0,0,1,,4-7,15,14,.41176471,.5,-.21500739,-.074642777,.18501624,.19876504,1,Tekhand,,0,7,0,12,-.99692732,0,0,0,1,0,0
TK206,1,1,1,,8-9,12,7,.2,.40000001,.05184558,.089216903,.15675281,.27526972,1,2,3,2,2,0,0,1,,8-9,13,18,.51428574,.43333334,.73869526,.60397619,-.5422985,-.37855533,1,Tekhand,14,0,8,0,12,-.63183159,0,0,0,0,1,0
TK207,1,1,1,1-2 hours,6-7,3,11,.31428573,.1,-.53247142,-.39533243,-2.3800581,-3.3574729,1,2,1,1,1,1,0,0,Less than 1 hour,4-7,7,15,.44117647,.23333333,-.34303543,-.14349441,-1.8843225,-1.7683792,1,Tekhand,10,0,6,1,12,.51389092,0,0,1,0,0,0
TK208,1,1,1,More than 4 hours,6-7,5,15,.42857143,.16666667,.50334656,.52048433,-1.4684381,-1.2042078,1,5,1,3,1,0,0,1,,4-7,18,18,.52941179,.60000002,.89127409,.75316489,.49249488,.46891516,1,Tekhand,10,0,6,0,12,-.63183159,0,0,1,0,0,0
TK209,1,1,1,More than 4 hours,8-9,12,17,.48571429,.40000001,1.9820131,1.56638,.21094064,.30816483,1,5,4,3,2,0,0,1,,8-9,17,23,.65714288,.56666666,1.8920544,1.4884706,.62535155,.59330088,1,Tekhand,12,0,,1,12,-.63183159,,,,,,
TK211,1,1,1,More than 4 hours,8-9,12,10,.2857143,.40000001,.60250896,.59480196,-.22008233,-.163551,1,4,2,3,1,0,0,1,,8-9,16,20,.5714286,.53333336,1.427677,1.1570867,.012336266,.040711377,1,Tekhand,13,0,8,1,12,-.63183159,0,0,0,0,1,0
TK213,0,0,0,,8-9,13,12,.34285715,.43333334,.15359423,.21866572,.86609322,.83529913,0,2,4,2,3,,,,,,,,,,,,,,,Tekhand,15,0,9,0,19,-.25260893,0,0,0,0,0,1
TK214,1,1,1,More than 4 hours,6-7,13,7,.2,.43333334,-.64235091,-.37516788,-.20808092,-.060523391,1,2,4,1,2,0,0,1,,4-7,13,15,.44117647,.43333334,.2078868,.28214329,-.29557925,-.15042149,1,Tekhand,12,0,6,1,12,-2.0639875,0,0,1,0,0,0
TK215,0,0,1,,6-7,16,13,.37142858,.53333336,.57510692,.56003845,.047411356,.085750997,1,4,3,3,2,,,,,,,,,,,,,,,Tekhand,13,0,7,0,12,-2.7798877,0,0,0,1,0,0
TK216,1,0,0,Less than 1 hour,6-7,6,12,.34285715,.2,.52777153,.51242965,-1.5299883,-1.438242,1,5,1,3,1,0,0,1,,4-7,1,11,.32352942,.033333335,-.88179189,-.53748894,-2.1732972,-3.1515141,1,Tekhand,10,0,6,0,12,-2.820204,0,0,1,0,0,0
TK217,1,1,0,1-2 hours,6-7,14,14,.40000001,.46666667,.65223265,.59467578,-.19898121,-.10730859,1,4,3,3,2,0,0,1,,4-7,13,17,.5,.43333334,.097856671,.15805964,-.57802242,-.42829472,1,Tekhand,13,0,7,0,12,-.19378689,0,0,0,1,0,0
TK218,0,1,0,,8-9,12,11,.31428573,.40000001,-.31195068,-.29977509,-.13255005,.098013319,1,1,2,1,1,0,0,1,,8-9,20,22,.62857145,.66666669,1.2444092,.98776108,.74212378,.64481151,1,Tekhand,14,0,9,1,19,.17331654,0,0,0,0,0,1
